Divulgacion;Actividad;Descripcion;Pagina web
Evento;7th LIDER Roadmapping Workshop at Madrid;"El taller, que lleva por título “Datos Enlazados y Multilingüismo para la Lingüística y las Humanidades Digitales”, tendrá lugar en la Escuela Técnica Superior de Ingenieros de Telecomunicación (ETSIT) de la Universidad Politécnica de Madrid. El evento contará con diversas charlas invitadas de expertos en la materia así como sesiones abiertas en los que se tratarán de forma específica diversos temas, como por ejemplo:
Datos enlazados multilingües
Multilingualidad en humanidades digitales
El papel de los datos enlazados en lingüística y humanidades digitales";http://www.lider-project.eu/workshopMadrid
Evento;1st Summer School on Smart Cities and Linked Open Data (LD4SC-15);"El 1st Summer School on Smart Cities and Linked Data (LD4SC-15) se celebrará del 7 al 12 de junio en la Residencia Lucas Olazábal de la Universidad Politécnica de Madrid, Cercedilla, Madrid.

El LD4SC-15 datathon tiene como principal objetivo el proporcionar a la gente de la industria y del ámbito académico una manera fácil y guiada de usar tecnologías de Linked Open Data en el dominio de las ciudades inteligentes, facilitando a través de acercamientos sencillos un primer contacto con estas tecnologías. Esta escuela de verano es la primer organizada sobre el tema organizado a nivel mundial y está financiado por READY4SmartCities FP7 Coordination and Support Action.";http://smartcity.linkeddata.es/LD4SC/
Evento;1st Summer Datathon on Linguistic Linked Open Data (SD-LLOD-15);"El 1st Summer Datathon on Linguistic Linked Open Data (SD-LLOD-15) se celebrará del 15 al 19 de junio en la Residencia Lucas Olazábal de la Universidad Politécnica de Madrid, Cercedilla, Madrid.

El SD-LLOD datathon tiene como principal objetivo el proporcionar a la gente de la industria y del ámbito académico conocimiento práctico en el campo de los datos enlazados aplicados a la lingüística. El objetivo final es permitir a los participantes migrar datos lingüísticos (propios o ajenos) a datos enlazados y publicarlos en la web. Este datathon es el primero sobre el tema organizado a nivel mundial y está financiado por LIDER FP7 Support Action.";http://datathon.lider-project.eu/
Evento;SSSW15;Nos complace anunciar la onceava Escuela de Verano sobre Ingeniería Ontológica y Web Semántica (SSSW 2015). La exitosa e innovadora serie de escuelas de verano se inició en 2003 y es, a día de hoy, un evento consolidado dentro de la comunidad científica y un modelo a seguir para otras iniciativas. Presentada por investigadores líderes en sus áreas de investigación, representa una oportunidad para que estudiantes de postgrado se doten de los conocimientos teóricos, prácticos y colaborativos necesarios para hacer frente a los desafíos implícitos en la comprensión y aplicación de tecnologías semánticas. Para garantizar una estrecha relación entre tutores y alumnos, el número de participantes se limita a 50.;http://sssw.org/2015
Evento;SSSW13;Nos complace anunciar la novena Escuela de Verano sobre Ingeniería Ontológica y Web Semántica (SSSW 2013). La exitosa e innovadora serie de escuelas de verano se inició en 2003 y es, a día de hoy, un evento consolidado dentro de la comunidad científica y un modelo a seguir para otras iniciativas. Presentada por investigadores líderes en sus áreas de investigación, representa una oportunidad para que estudiantes de postgrado se doten de los conocimientos teóricos, prácticos y colaborativos necesarios para hacer frente a los desafíos implícitos en la comprensión y aplicación de tecnologías semánticas. Para garantizar una estrecha relación entre tutores y alumnos, el número de participantes se limita a 50.;http://sssw.org/2013
Evento;Desarrollo de Ontologías (1 ECTS);"El curso ""Desarrollo de Ontologías"" se impartirá durante el curso académico 2012-2013. El curso se podrá realizar en las siguiente fechas:

Del 4 al 8 de febrero de 2013
Del 3 al 8 de junio de 2013";https://oeg.fi.upm.es/index.php/es/component/content/32/263-ce-ontology-development/index.html
Evento;Lenguajes RDF(S) y SPARQL (1 ECTS);"El curso ""Lenguajes RDF(S) y SPARQL"" se impartirá durante los cursos académicos de 2011-2012 y 2012-2013. Las fechas en las que se puede realizar el cuso son las siguientes:

Del 11 al 15 de febrero de 2013
Del 10 al 14 de junio de 201";https://oeg.fi.upm.es/index.php/es/component/content/32/264-ce-rdfs-sparql-languages/index.html
Evento;Lenguaje OWL (1 ECTS);"El curso ""Lenguaje OWL"" se impartirá durante el curso académico 2012-2013. El curso se podrá realizar en las siguientes fechas:

Del 15 al 19 de octubre 2012
Del 18 al 22 de febrero de 2013";https://oeg.fi.upm.es/index.php/es/component/content/32/270-ce-owl-language/index.html
Evento;Datos Enlazados (1 ECTS);"El curso ""Datos Enlazados"" se impartirá durante los cursos académicos de 2011-2012 y 2012-2013. Las fechas en las que se puede realizar el cuso son las siguientes:

Del 4 al 8 de marzo de 2013
Del 17 al 21 de junio de 2013";https://oeg.fi.upm.es/index.php/es/component/content/32/269-ce-linked-data/index.html
Evento;Datos Enlazados en Bibliotecas y Repositorios Digitales (1 ECTS);"El curso ""Datos Enlazados en Bibliotecas y Repositorios Digitales"" se impartirá durante el curso académico 2012-2013. El curso se podrá realizar en las siguiente fechas:

Del 22 al 26 de octubre 2012 (A impartir en la BNE, con personas de la BNE)
Del 18 al 22 de marzo de 2013
Del 24 al 28 de junio de 2013";https://oeg.fi.upm.es/index.php/es/component/content/32/268-ce-linked-data-librarys-digital-repositories/index.html
Evento;Datos Enlazados en Geografía (1 ECTS);"El curso ""Datos Enlazados en Geografía"" se impartirá durante el curso académico 2012-2013. El curso se podrá realizar del 8 al 12 de abril de 2013.";https://oeg.fi.upm.es/index.php/es/component/content/32/267-ce-linked-data-geography/index.html
Evento;Datos Enlazados y gobierno abierto (1 ECTS);"El curso ""Datos Enlazados y gobierno abierto"" se impartirá durante los cursos académicos de 2011-2012 y 2012-2013. Las fechas en las que se puede realizar el cuso son las siguientes:

Del 22 al 26 de abril de 2013
Del 1 a 5 de julio de 2013";https://oeg.fi.upm.es/index.php/es/component/content/32/266-ce-linked-data-open-government/index.html
Evento;Datos Enlazados y Datos Estadísticos (1 ECTS);"El curso ""Datos Enlazados y Datos Estadísticos"" se impartirá durante el curso académico 2012-2013. El curso se podrá realizar en las siguientes fechas:

Del 22 al 26 de abril de 2013
Del 1 a 5 de julio de 2013";https://oeg.fi.upm.es/index.php/es/component/content/32/265-ce-linked-data-statistical-data/index.html
Evento;Conferencia TKE 2012;"Nuevas fronteras en la simbiosis constructiva de la terminología y la ingeniería del conocimiento - Conferencia TKE (Terminology and Knowledge Engineering)

La conferencia está organizada por el Ontology Engineering Group (OEG), Universidad Politécnica de Madrid (UPM), y la Asociación Terminology and Knowledge Transfer (GTW).  La conferencia principal tendrá lugar los días 20 y 21 de junio y los workshops los días 19 y 22 en la Escuela Técnica Superior de Ingenieros de Caminos, Canales y Puertos de la UPM. Además, el encuentro anual de ISO TC37 tendrá lugar en Madrid, del 25 al 29 de junio.";https://www.oeg-upm.net/tke2012
Evento;SSSW12;Nos complace anunciar la novena Escuela de Verano sobre Ingeniería Ontológica y Web Semántica (SSSW 2012). La exitosa e innovadora serie de escuelas de verano se inició en 2003 y es, a día de hoy, un evento consolidado dentro de la comunidad científica y un modelo a seguir para otras iniciativas. Presentada por investigadores líderes en sus áreas de investigación, representa una oportunidad para que estudiantes de postgrado se doten de los conocimientos teóricos, prácticos y colaborativos necesarios para hacer frente a los desafíos implícitos en la comprensión y aplicación de tecnologías semánticas. Para garantizar una estrecha relación entre tutores y alumnos, el número de participantes se limita a 50.;http://sssw.org/2012/2011/11/sssw-2012-first-announcement/
